File Name,Text-Based
79.doc,Yes
12.pdf,Yes
67.doc,Yes
23.doc,Yes
69.docx,Yes
71.docx,Yes
7.doc,Yes
56.doc,Yes
73.pdf,Yes
33.doc,Yes
39.doc,Yes
10.doc,Yes
74.doc,Yes
45.doc,Yes
27.doc,Yes
70.docx,Yes
52.pdf,Yes
37.doc,Yes
3.doc,Yes
55.doc,Yes
41.doc,Yes
8.doc,Yes
62.doc,Yes
44.doc,Yes
63.doc,Yes
72.doc,Yes
46.doc,Yes
59.doc,Yes
58.doc,Yes
81.doc,Yes
50.docx,Yes
32.doc,Yes
35.doc,Yes
78.doc,Yes
57.doc,Yes
64.doc,Yes
54.doc,Yes
76.doc,Yes
21.doc,Yes
9.doc,Yes
61.doc,Yes
11.pdf,Yes
34.doc,Yes
38.docx,Yes
30.doc,Yes
25.docx,Yes
36.doc,Yes
42.doc,Yes
80.doc,Yes
43.doc,Yes
49.doc,Yes
77.doc,Yes
20.doc,Yes
2.pdf,Yes
15.doc,Yes
22.doc,Yes
31.doc,Yes
28.doc,Yes
47.doc,Yes
66.doc,Yes
29.doc,Yes
65.doc,Yes
16.doc,Yes
4.doc,Yes
18.doc,Yes
48.docx,Yes
14.doc,Yes
19.doc,Yes
60.doc,Yes
26.doc,Yes
51.doc,Yes
75.doc,Yes
17.doc,Yes
40.doc,Yes
53.doc,Yes
1.doc,Yes
6.doc,Yes
13.pdf,Yes
68.docx,Yes
5.doc,Yes
24.doc,Yes
